,verse,tsne_embedding
49,"2:24 Therefore shall a man leave his father and his mother, and shall cleave
unto his wife: and they shall be one flesh.","[7.903181076049805, 11.932510375976562]"
50,"2:25 And they were both naked, the man and his wife, and were not ashamed.","[-45.2280387878418, 21.728519439697266]"
51,"3:1 Now the serpent was more subtil than any beast of the field which the LORD
God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat
of every tree of the garden? 3:2 And the woman said unto the serpent, We may
eat of the fruit of the trees of the garden: 3:3 But of the fruit of the tree
which is in the midst of the garden, God hath said, Ye shall not eat of it,
neither shall ye touch it, lest ye die.","[-32.25808334350586, 34.98400115966797]"
52,"3:4 And the serpent said unto the woman, Ye shall not surely die: 3:5 For God
doth know that in the day ye eat thereof, then your eyes shall be opened, and
ye shall be as gods, knowing good and evil.","[-33.66877365112305, 34.397064208984375]"
53,"3:6 And when the woman saw that the tree was good for food, and that it was
pleasant to the eyes, and a tree to be desired to make one wise, she took of
the fruit thereof, and did eat, and gave also unto her husband with her; and he
did eat.","[-31.024621963500977, 33.39862823486328]"
54,"3:7 And the eyes of them both were opened, and they knew that they were naked;
and they sewed fig leaves together, and made themselves aprons.","[-44.740177154541016, 22.39190101623535]"
55,"3:8 And they heard the voice of the LORD God walking in the garden in the cool
of the day: and Adam and his wife hid themselves from the presence of the LORD
God amongst the trees of the garden.","[-30.019207000732422, 30.44997215270996]"
56,"3:9 And the LORD God called unto Adam, and said unto him, Where art thou? 3:10
And he said, I heard thy voice in the garden, and I was afraid, because I was
naked; and I hid myself.","[-29.995567321777344, 30.364582061767578]"
57,"3:11 And he said, Who told thee that thou wast naked? Hast thou eaten of the
tree, whereof I commanded thee that thou shouldest not eat? 3:12 And the man
said, The woman whom thou gavest to be with me, she gave me of the tree, and I
did eat.","[-31.12311553955078, 33.237979888916016]"
58,"3:13 And the LORD God said unto the woman, What is this that thou hast done?
And the woman said, The serpent beguiled me, and I did eat.","[-33.88053512573242, 34.633602142333984]"
59,"3:14 And the LORD God said unto the serpent, Because thou hast done this, thou
art cursed above all cattle, and above every beast of the field; upon thy belly
shalt thou go, and dust shalt thou eat all the days of thy life: 3:15 And I
will put enmity between thee and the woman, and between thy seed and her seed;
it shall bruise thy head, and thou shalt bruise his heel.","[-33.657649993896484, 35.203582763671875]"
60,"3:16 Unto the woman he said, I will greatly multiply thy sorrow and thy
conception; in sorrow thou shalt bring forth children; and thy desire shall be
to thy husband, and he shall rule over thee.","[23.912675857543945, 9.17383861541748]"
61,"3:17 And unto Adam he said, Because thou hast hearkened unto the voice of thy
wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt
not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of
it all the days of thy life; 3:18 Thorns also and thistles shall it bring forth
to thee; and thou shalt eat the herb of the field; 3:19 In the sweat of thy
face shalt thou eat bread, till thou return unto the ground; for out of it wast
thou taken: for dust thou art, and unto dust shalt thou return.","[-30.780136108398438, 35.233028411865234]"
62,"3:20 And Adam called his wife’s name Eve; because she was the mother of all
living.","[-21.047794342041016, 30.033729553222656]"
63,"3:21 Unto Adam also and to his wife did the LORD God make coats of skins, and
clothed them.","[-27.96087074279785, 30.735273361206055]"
64,"3:22 And the LORD God said, Behold, the man is become as one of us, to know
good and evil: and now, lest he put forth his hand, and take also of the tree
of life, and eat, and live for ever: 3:23 Therefore the LORD God sent him forth
from the garden of Eden, to till the ground from whence he was taken.","[-26.43178939819336, 33.582454681396484]"
65,"3:24 So he drove out the man; and he placed at the east of the garden of Eden
Cherubims, and a flaming sword which turned every way, to keep the way of the
tree of life.","[-27.875699996948242, 33.407623291015625]"
66,"4:1 And Adam knew Eve his wife; and she conceived, and bare Cain, and said, I
have gotten a man from the LORD.","[-22.322359085083008, 27.695775985717773]"
67,"4:2 And she again bare his brother Abel. And Abel was a keeper of sheep, but
Cain was a tiller of the ground.","[-24.08085823059082, 26.568668365478516]"
68,"4:3 And in process of time it came to pass, that Cain brought of the fruit of
the ground an offering unto the LORD.","[-24.913820266723633, 27.480504989624023]"
69,"4:4 And Abel, he also brought of the firstlings of his flock and of the fat
thereof. And the LORD had respect unto Abel and to his offering: 4:5 But unto
Cain and to his offering he had not respect. And Cain was very wroth, and his
countenance fell.","[-25.595041275024414, 26.370771408081055]"
70,"4:6 And the LORD said unto Cain, Why art thou wroth? and why is thy countenance
fallen? 4:7 If thou doest well, shalt thou not be accepted? and if thou doest
not well, sin lieth at the door. And unto thee shall be his desire, and thou
shalt rule over him.","[-25.923738479614258, 25.770849227905273]"
71,"4:8 And Cain talked with Abel his brother: and it came to pass, when they were
in the field, that Cain rose up against Abel his brother, and slew him.","[-24.151235580444336, 25.71167755126953]"
72,"4:9 And the LORD said unto Cain, Where is Abel thy brother? And he said, I know
not: Am I my brother’s keeper? 4:10 And he said, What hast thou done? the voice
of thy brother’s blood crieth unto me from the ground.","[-23.773019790649414, 25.249658584594727]"
73,"4:11 And now art thou cursed from the earth, which hath opened her mouth to
receive thy brother’s blood from thy hand; 4:12 When thou tillest the ground,
it shall not henceforth yield unto thee her strength; a fugitive and a vagabond
shalt thou be in the earth.","[-29.07297706604004, 24.33087730407715]"
74,"4:13 And Cain said unto the LORD, My punishment is greater than I can bear.","[-26.10817527770996, 24.979463577270508]"
75,"4:14 Behold, thou hast driven me out this day from the face of the earth; and
from thy face shall I be hid; and I shall be a fugitive and a vagabond in the
earth; and it shall come to pass, that every one that findeth me shall slay me.","[-29.14433479309082, 24.265422821044922]"
76,"4:15 And the LORD said unto him, Therefore whosoever slayeth Cain, vengeance
shall be taken on him sevenfold. And the LORD set a mark upon Cain, lest any
finding him should kill him.","[-25.53659439086914, 24.64632797241211]"
77,"4:16 And Cain went out from the presence of the LORD, and dwelt in the land of
Nod, on the east of Eden.","[-24.43623161315918, 28.329776763916016]"
78,"4:17 And Cain knew his wife; and she conceived, and bare Enoch: and he builded
a city, and called the name of the city, after the name of his son, Enoch.","[-21.41492462158203, 26.894943237304688]"
79,"4:18 And unto Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat
Methusael: and Methusael begat Lamech.","[-20.56085777282715, 26.523548126220703]"
80,"4:19 And Lamech took unto him two wives: the name of the one was Adah, and the
name of the other Zillah.","[24.831022262573242, 19.557241439819336]"
81,"4:20 And Adah bare Jabal: he was the father of such as dwell in tents, and of
such as have cattle.","[-19.560657501220703, 3.5921356678009033]"
82,"4:21 And his brother’s name was Jubal: he was the father of all such as handle
the harp and organ.","[8.856038093566895, 49.55579376220703]"
83,"4:22 And Zillah, she also bare Tubalcain, an instructer of every artificer in
brass and iron: and the sister of Tubalcain was Naamah.","[26.23019790649414, 21.585697174072266]"
84,"4:23 And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives
of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a
young man to my hurt.","[24.653671264648438, 19.50674819946289]"
85,"4:24 If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.","[-25.26679229736328, 23.479442596435547]"
86,"4:25 And Adam knew his wife again; and she bare a son, and called his name
Seth: For God, said she, hath appointed me another seed instead of Abel, whom
Cain slew.","[-22.249380111694336, 27.51653289794922]"
87,"4:26 And to Seth, to him also there was born a son; and he called his name
Enos: then began men to call upon the name of the LORD.","[-19.105398178100586, 27.629905700683594]"
88,"5:1 This is the book of the generations of Adam. In the day that God created
man, in the likeness of God made he him; 5:2 Male and female created he them;
and blessed them, and called their name Adam, in the day when they were
created.","[-11.533376693725586, 37.14421081542969]"
89,"5:3 And Adam lived an hundred and thirty years, and begat a son in his own
likeness, and after his image; and called his name Seth: 5:4 And the days of
Adam after he had begotten Seth were eight hundred years: and he begat sons and
daughters: 5:5 And all the days that Adam lived were nine hundred and thirty
years: and he died.","[-3.285996675491333, 37.05978012084961]"
90,"5:6 And Seth lived an hundred and five years, and begat Enos: 5:7 And Seth
lived after he begat Enos eight hundred and seven years, and begat sons and
daughters: 5:8 And all the days of Seth were nine hundred and twelve years: and
he died.","[-3.0683703422546387, 36.6375617980957]"
91,"5:9 And Enos lived ninety years, and begat Cainan: 5:10 And Enos lived after he
begat Cainan eight hundred and fifteen years, and begat sons and daughters:
5:11 And all the days of Enos were nine hundred and five years: and he died.","[-3.0962984561920166, 35.765384674072266]"
92,"5:12 And Cainan lived seventy years and begat Mahalaleel: 5:13 And Cainan lived
after he begat Mahalaleel eight hundred and forty years, and begat sons and
daughters: 5:14 And all the days of Cainan were nine hundred and ten years: and
he died.","[-2.3155946731567383, 35.86750411987305]"
93,"5:15 And Mahalaleel lived sixty and five years, and begat Jared: 5:16 And
Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat
sons and daughters: 5:17 And all the days of Mahalaleel were eight hundred
ninety and five years: and he died.","[-0.9208234548568726, 36.069374084472656]"
94,"5:18 And Jared lived an hundred sixty and two years, and he begat Enoch: 5:19
And Jared lived after he begat Enoch eight hundred years, and begat sons and
daughters: 5:20 And all the days of Jared were nine hundred sixty and two
years: and he died.","[-1.471764087677002, 36.583900451660156]"
95,"5:21 And Enoch lived sixty and five years, and begat Methuselah: 5:22 And Enoch
walked with God after he begat Methuselah three hundred years, and begat sons
and daughters: 5:23 And all the days of Enoch were three hundred sixty and five
years: 5:24 And Enoch walked with God: and he was not; for God took him.","[-1.9745131731033325, 37.218692779541016]"
96,"5:25 And Methuselah lived an hundred eighty and seven years, and begat Lamech.","[-1.8189666271209717, 38.70530700683594]"
97,"5:26 And Methuselah lived after he begat Lamech seven hundred eighty and two
years, and begat sons and daughters: 5:27 And all the days of Methuselah were
nine hundred sixty and nine years: and he died.","[-1.770088791847229, 38.21236038208008]"
98,"5:28 And Lamech lived an hundred eighty and two years, and begat a son: 5:29
And he called his name Noah, saying, This same shall comfort us concerning our
work and toil of our hands, because of the ground which the LORD hath cursed.","[-3.2640438079833984, 39.55982971191406]"
99,"5:30 And Lamech lived after he begat Noah five hundred ninety and five years,
and begat sons and daughters: 5:31 And all the days of Lamech were seven
hundred seventy and seven years: and he died.","[-2.8438854217529297, 39.03992462158203]"
100,"5:32 And Noah was five hundred years old: and Noah begat Shem, Ham, and
Japheth.","[-4.32533073425293, 42.833370208740234]"
101,"6:1 And it came to pass, when men began to multiply on the face of the earth,
and daughters were born unto them, 6:2 That the sons of God saw the daughters
of men that they were fair; and they took them wives of all which they chose.","[-6.296879768371582, 47.645164489746094]"
102,"6:3 And the LORD said, My spirit shall not always strive with man, for that he
also is flesh: yet his days shall be an hundred and twenty years.","[-3.482103109359741, 31.73978042602539]"
103,"6:4 There were giants in the earth in those days; and also after that, when the
sons of God came in unto the daughters of men, and they bare children to them,
the same became mighty men which were of old, men of renown.","[-6.17999267578125, 46.85359191894531]"
104,"6:5 And God saw that the wickedness of man was great in the earth, and that
every imagination of the thoughts of his heart was only evil continually.","[-21.519760131835938, 43.738792419433594]"
105,"6:6 And it repented the LORD that he had made man on the earth, and it grieved
him at his heart.","[-21.644685745239258, 42.63149642944336]"
106,"6:7 And the LORD said, I will destroy man whom I have created from the face of
the earth; both man, and beast, and the creeping thing, and the fowls of the
air; for it repenteth me that I have made them.","[-20.836885452270508, 43.11674880981445]"
107,6:8 But Noah found grace in the eyes of the LORD.,"[-9.924866676330566, 43.402740478515625]"
108,"6:9 These are the generations of Noah: Noah was a just man and perfect in his
generations, and Noah walked with God.","[-7.764113426208496, 44.522216796875]"
109,"6:10 And Noah begat three sons, Shem, Ham, and Japheth.","[-4.413110733032227, 43.44300079345703]"
110,"6:11 The earth also was corrupt before God, and the earth was filled with
violence.","[-21.38857650756836, 44.83455276489258]"
111,"6:12 And God looked upon the earth, and, behold, it was corrupt; for all flesh
had corrupted his way upon the earth.","[-21.464920043945312, 44.92716598510742]"
112,"6:13 And God said unto Noah, The end of all flesh is come before me; for the
earth is filled with violence through them; and, behold, I will destroy them
with the earth.","[-19.003822326660156, 44.322357177734375]"
113,"6:14 Make thee an ark of gopher wood; rooms shalt thou make in the ark, and
shalt pitch it within and without with pitch.","[-8.401083946228027, 51.62330627441406]"
114,"6:15 And this is the fashion which thou shalt make it of: The length of the ark
shall be three hundred cubits, the breadth of it fifty cubits, and the height
of it thirty cubits.","[-8.70722770690918, 52.54128646850586]"
115,"6:16 A window shalt thou make to the ark, and in a cubit shalt thou finish it
above; and the door of the ark shalt thou set in the side thereof; with lower,
second, and third stories shalt thou make it.","[-8.538874626159668, 51.91212844848633]"
116,"6:17 And, behold, I, even I, do bring a flood of waters upon the earth, to
destroy all flesh, wherein is the breath of life, from under heaven; and every
thing that is in the earth shall die.","[-18.964824676513672, 44.731754302978516]"
117,"6:18 But with thee will I establish my covenant; and thou shalt come into the
ark, thou, and thy sons, and thy wife, and thy sons’ wives with thee.","[-10.238059997558594, 46.01234436035156]"
118,"6:19 And of every living thing of all flesh, two of every sort shalt thou bring
into the ark, to keep them alive with thee; they shall be male and female.","[-11.708867073059082, 47.59893035888672]"
119,"6:20 Of fowls after their kind, and of cattle after their kind, of every
creeping thing of the earth after his kind, two of every sort shall come unto
thee, to keep them alive.","[-19.82074546813965, 38.869075775146484]"
120,"6:21 And take thou unto thee of all food that is eaten, and thou shalt gather
it to thee; and it shall be for food for thee, and for them.","[-13.365139961242676, -29.10121726989746]"
121,"6:22 Thus did Noah; according to all that God commanded him, so did he.","[-10.882776260375977, 42.90029525756836]"
122,"7:1 And the LORD said unto Noah, Come thou and all thy house into the ark; for
thee have I seen righteous before me in this generation.","[-10.958273887634277, 44.915096282958984]"
123,"7:2 Of every clean beast thou shalt take to thee by sevens, the male and his
female: and of beasts that are not clean by two, the male and his female.","[-11.909734725952148, 48.549407958984375]"
124,"7:3 Of fowls also of the air by sevens, the male and the female; to keep seed
alive upon the face of all the earth.","[-18.911388397216797, 40.1254997253418]"
125,"7:4 For yet seven days, and I will cause it to rain upon the earth forty days
and forty nights; and every living substance that I have made will I destroy
from off the face of the earth.","[-20.107200622558594, 53.09669494628906]"
126,7:5 And Noah did according unto all that the LORD commanded him.,"[-10.945247650146484, 43.03133010864258]"
127,"7:6 And Noah was six hundred years old when the flood of waters was upon the
earth.","[-15.916027069091797, 49.5132942199707]"
128,"7:7 And Noah went in, and his sons, and his wife, and his sons’ wives with him,
into the ark, because of the waters of the flood.","[-12.017581939697266, 45.8287467956543]"
129,"7:8 Of clean beasts, and of beasts that are not clean, and of fowls, and of
every thing that creepeth upon the earth, 7:9 There went in two and two unto
Noah into the ark, the male and the female, as God had commanded Noah.","[-12.374034881591797, 47.501747131347656]"
130,"7:10 And it came to pass after seven days, that the waters of the flood were
upon the earth.","[-18.02958106994629, 51.139495849609375]"
131,"7:11 In the six hundredth year of Noah’s life, in the second month, the
seventeenth day of the month, the same day were all the fountains of the great
deep broken up, and the windows of heaven were opened.","[-16.302223205566406, 50.69783401489258]"
132,7:12 And the rain was upon the earth forty days and forty nights.,"[-20.241525650024414, 53.430747985839844]"
133,"7:13 In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons
of Noah, and Noah’s wife, and the three wives of his sons with them, into the
ark; 7:14 They, and every beast after his kind, and all the cattle after their
kind, and every creeping thing that creepeth upon the earth after his kind, and
every fowl after his kind, every bird of every sort.","[-13.0029935836792, 45.79958724975586]"
134,"7:15 And they went in unto Noah into the ark, two and two of all flesh, wherein
is the breath of life.","[-13.745051383972168, 47.48087692260742]"
135,"7:16 And they that went in, went in male and female of all flesh, as God had
commanded him: and the LORD shut him in.","[-10.780932426452637, 48.62432861328125]"
136,"7:17 And the flood was forty days upon the earth; and the waters increased, and
bare up the ark, and it was lift up above the earth.","[-17.52137565612793, 50.24117660522461]"
137,"7:18 And the waters prevailed, and were increased greatly upon the earth; and
the ark went upon the face of the waters.","[-17.72492027282715, 49.607391357421875]"
138,"7:19 And the waters prevailed exceedingly upon the earth; and all the high
hills, that were under the whole heaven, were covered.","[-20.242042541503906, 49.05636978149414]"
139,"7:20 Fifteen cubits upward did the waters prevail; and the mountains were
covered.","[-19.959819793701172, 49.290306091308594]"
140,"7:21 And all flesh died that moved upon the earth, both of fowl, and of cattle,
and of beast, and of every creeping thing that creepeth upon the earth, and
every man: 7:22 All in whose nostrils was the breath of life, of all that was
in the dry land, died.","[-16.731321334838867, 45.8065071105957]"
141,"7:23 And every living substance was destroyed which was upon the face of the
ground, both man, and cattle, and the creeping things, and the fowl of the
heaven; and they were destroyed from the earth: and Noah only remained alive,
and they that were with him in the ark.","[-16.263349533081055, 46.11174392700195]"
142,7:24 And the waters prevailed upon the earth an hundred and fifty days.,"[-18.872650146484375, 51.02381896972656]"
143,"8:1 And God remembered Noah, and every living thing, and all the cattle that
was with him in the ark: and God made a wind to pass over the earth, and the
waters asswaged; 8:2 The fountains also of the deep and the windows of heaven
were stopped, and the rain from heaven was restrained; 8:3 And the waters
returned from off the earth continually: and after the end of the hundred and
fifty days the waters were abated.","[-15.004761695861816, 51.65953826904297]"
144,"8:4 And the ark rested in the seventh month, on the seventeenth day of the
month, upon the mountains of Ararat.","[-16.10179328918457, 53.80936813354492]"
145,"8:5 And the waters decreased continually until the tenth month: in the tenth
month, on the first day of the month, were the tops of the mountains seen.","[-17.397001266479492, 54.644100189208984]"
146,"8:6 And it came to pass at the end of forty days, that Noah opened the window
of the ark which he had made: 8:7 And he sent forth a raven, which went forth
to and fro, until the waters were dried up from off the earth.","[-14.333486557006836, 52.66372299194336]"
147,"8:8 Also he sent forth a dove from him, to see if the waters were abated from
off the face of the ground; 8:9 But the dove found no rest for the sole of her
foot, and she returned unto him into the ark, for the waters were on the face
of the whole earth: then he put forth his hand, and took her, and pulled her in
unto him into the ark.","[-13.5663423538208, 51.80937194824219]"
148,"8:10 And he stayed yet other seven days; and again he sent forth the dove out
of the ark; 8:11 And the dove came in to him in the evening; and, lo, in her
mouth was an olive leaf pluckt off: so Noah knew that the waters were abated
from off the earth.","[-14.445637702941895, 52.00558090209961]"
149,"8:12 And he stayed yet other seven days; and sent forth the dove; which
returned not again unto him any more.","[-13.16640567779541, 53.392452239990234]"
150,"8:13 And it came to pass in the six hundredth and first year, in the first
month, the first day of the month, the waters were dried up from off the earth:
and Noah removed the covering of the ark, and looked, and, behold, the face of
the ground was dry.","[-16.15258026123047, 52.44535827636719]"
151,"8:14 And in the second month, on the seven and twentieth day of the month, was
the earth dried.","[-17.1623592376709, 53.41042709350586]"
152,"8:15 And God spake unto Noah, saying, 8:16 Go forth of the ark, thou, and thy
wife, and thy sons, and thy sons’ wives with thee.","[-12.13287353515625, 45.09272384643555]"
153,"8:17 Bring forth with thee every living thing that is with thee, of all flesh,
both of fowl, and of cattle, and of every creeping thing that creepeth upon the
earth; that they may breed abundantly in the earth, and be fruitful, and
multiply upon the earth.","[-18.400693893432617, 38.843990325927734]"
154,"8:18 And Noah went forth, and his sons, and his wife, and his sons’ wives with
him: 8:19 Every beast, every creeping thing, and every fowl, and whatsoever
creepeth upon the earth, after their kinds, went forth out of the ark.","[-13.334905624389648, 45.22579574584961]"
155,"8:20 And Noah builded an altar unto the LORD; and took of every clean beast,
and of every clean fowl, and offered burnt offerings on the altar.","[-14.130034446716309, 44.21453094482422]"
156,"8:21 And the LORD smelled a sweet savour; and the LORD said in his heart, I
will not again curse the ground any more for man’s sake; for the imagination of
man’s heart is evil from his youth; neither will I again smite any more every
thing living, as I have done.","[-31.319538116455078, 36.96290588378906]"
157,"8:22 While the earth remaineth, seedtime and harvest, and cold and heat, and
summer and winter, and day and night shall not cease.","[-21.20904541015625, 54.4655876159668]"
158,"9:1 And God blessed Noah and his sons, and said unto them, Be fruitful, and
multiply, and replenish the earth.","[-15.514781951904297, 38.855247497558594]"
159,"9:2 And the fear of you and the dread of you shall be upon every beast of the
earth, and upon every fowl of the air, upon all that moveth upon the earth, and
upon all the fishes of the sea; into your hand are they delivered.","[-29.869020462036133, 42.50431823730469]"
160,"9:3 Every moving thing that liveth shall be meat for you; even as the green
herb have I given you all things.","[-29.895092010498047, 39.972625732421875]"
161,"9:4 But flesh with the life thereof, which is the blood thereof, shall ye not
eat.","[-30.51241111755371, 40.317569732666016]"
162,"9:5 And surely your blood of your lives will I require; at the hand of every
beast will I require it, and at the hand of man; at the hand of every man’s
brother will I require the life of man.","[-31.272066116333008, 41.92771530151367]"
163,"9:6 Whoso sheddeth man’s blood, by man shall his blood be shed: for in the
image of God made he man.","[-31.532100677490234, 41.96783447265625]"
